Sales_organisation_cd,APPLE_ID,CUST_ID,Legal Name,price_grp_cd,AUTH_DESCRIPTION,Billing_Block_Cd,Order_Block_Cd,Delivery_Block_Cd,Posting_Block_Cd,Sales_Block_Cd,Marked_For_Delete_Ind,Acct_Status_Cd
1200,335613,1224293,"""SUCCESS FOR ALL FOUNDATION(HK) LTD.""",,,,,91,,,N,ACTIVE
1200,336683,653709,"""DCL DIGITAL COMPUTER COMPANY., LTD""",RC,"APPLE CPU, IPAD",,ZB,91,,,Y,INACTIVE
1200,336683,1223940,"""DCL DIGITAL COMPUTER COMPANY., LTD""",,"APPLE CPU, IPAD",,,91,,,N,ACTIVE
1200,336684,652710,"""HMV HONG KONG LIMITED""",RC,,,ZB,91,,,Y,INACTIVE
1200,336684,1223937,"""HMV HONG KONG LIMITED""",,,,,91,,,N,ACTIVE
1200,338116,653485,"""WEST ISLAND SCHOOL""",PD,,,,,,,N,ACTIVE
1200,338116,1223899,"""WEST ISLAND SCHOOL""",,,,,,,,N,ACTIVE
1200,338117,653477,"""MACRO SYSTEMS LIMITED""",PH,APPLE CPU,,ZB,91,,,Y,INACTIVE
1200,338117,1223939,"""MACRO SYSTEMS LIMITED""",,APPLE CPU,,,91,,,N,ACTIVE
1200,339234,653564,"""PROTECH COMPUTER LIMITED""",RC,"APPLE CPU, IPAD",,ZB,91,,,Y,INACTIVE
1200,339234,1224294,"""PROTECH COMPUTER LIMITED""",,"APPLE CPU, IPAD",,,91,,,N,ACTIVE
1200,343612,655470,"""CANON HONGKONG COMPANY LIMITED""",PH,APPLE CPU,,ZB,91,,,Y,INACTIVE
1200,343612,1224458,"""CANON HONGKONG COMPANY LIMITED""",,APPLE CPU,,,91,,,N,ACTIVE
1200,345789,656168,"""EVERWISH TRADING LIMITED""",PV,IPOD,,ZB,91,,,Y,INACTIVE
1200,345789,1224295,"""EVERWISH TRADING LIMITED""",,IPOD,,,91,,,N,ACTIVE
1200,347159,656772,"""BROADWAY @ 22 GRAND CENTURY PLACE""",,APPLE CPU + IPOD + IPHONE,,ZB,,,,Y,INACTIVE
1200,348513,657171,"""MASTER COMMUNICATIONS LIMITED""",RC,"BEATS PRODUCTS, IPAD, IPHONE, WATCH",,,,,,N,ACTIVE
1200,348513,854321,"""MASTER COMMUNICATIONS LIMITED""",RC,"BEATS PRODUCTS, IPAD, IPHONE, WATCH",,,,,,N,ACTIVE
1200,352834,659366,"""D C ONE.HK COMPANY LIMITED""",RC,"BEATS PRODUCTS, IPOD",,ZB,91,,,Y,INACTIVE
1200,352834,1224296,"""D C ONE.HK COMPANY LIMITED""",,"BEATS PRODUCTS, IPOD",,,91,,,N,ACTIVE
1200,357211,659868,"""YCY HOLDINGS LIMITED""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,357211,1224436,"""YCY HOLDINGS LIMITED""",,IPOD,,,91,,,N,ACTIVE
1200,357213,660209,"""DIGITALREV LIMITED""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,357213,1224386,"""DIGITALREV LIMITED""",,IPOD,,,91,,,N,ACTIVE
1200,357214,659867,"""LEADING MANAGEMENT LIMITED""",PH,IPOD,,ZB,91,,,Y,INACTIVE
1200,357214,1224339,"""LEADING MANAGEMENT LIMITED""",,IPOD,,,91,,,N,ACTIVE
1200,358615,660270,"""MYER PHOTO & AUDIO COMPANY LIMITED""",PH,IPOD,,ZB,91,,,Y,INACTIVE
1200,358615,1224479,"""MYER PHOTO & AUDIO COMPANY LIMITED""",,IPOD,,,91,,,N,ACTIVE
